Store,Country,State,City,Category,Clothing Type,Store Number,Postal Code,Store Type,Store Open Date,Selling Area Size (sq ft),Store Manager,Manager ID,Store Address,Contact Information,Operating Hours,Staff Count,Parking Availability,Security Features,Order ID,Order Date,Month,Customer ID,Customer Name,Product ID,Price,Quantity,Sales Profit
Zudio,India,Rajasthan,Kolkata,Women,T-shirts,23,403179,Rented,19-10-2024,1100,Maria Parks,M84,"589 William Valley Apt. 519 Michaelland, WI 71080",929-212-1906x568,10 AM - 7 PM,5,Not Available,Alarm,23233,03-09-2024,September,578725,Brenda Gordon,481,2581,2,2064.8
Zudio,India,Rajasthan,Agra,Kids,T-shirts,5,415378,Rented,30-05-2022,950,Jason Parrish,M75,"09369 Derek Forges East Crystalville, OR 21490",+1-816-384-3133x2623,10 AM - 9 PM,3,Not Available,"CCTV, Alarm",14350,31-03-2024,March,126081,Mark Perkins,706,500,4,800
Zudio,India,Tamil Nadu,Thane,Kids,Dresses,31,429523,Rented,18-11-2021,1300,Paul Garrett,M50,"663 Judy Village Benjaminborough, CO 11270",001-363-029-7262x7248,11 AM - 8 PM,15,Not Available,Alarm,53128,28-08-2024,August,773301,Aaron Lewis,839,1952,3,2342.4
Zudio,India,Delhi,Patna,Kids,Dresses,49,417553,Owned,27-06-2024,1000,Jeffrey Boyle,M19,"8844 Robert Club Apt. 926 North Williamborough, SC 12197",984-847-5274,11 AM - 8 PM,8,Not Available,None,74430,10-05-2024,May,175073,Tonya Manning,970,2249,3,2698.8
Zudio,India,Gujarat,Chhattisgarh,Kids,Dresses,83,423751,Rented,11-11-2021,800,Catherine Peters,M58,"4853 Rodriguez Manor East Adam, ME 98389",001-096-596-8912,10 AM - 9 PM,13,Not Available,Alarm,91374,07-06-2024,June,880047,Shannon Jarvis,481,1873,2,1498.4
Zudio,India,West Bengal,Nashik,Women,Shoes,67,433909,Owned,21-09-2022,1400,Diane Johnson,M38,"295 Dennis Burgs Stacymouth, GA 92749",281.428.3975x69152,11 AM - 8 PM,13,Not Available,CCTV,75675,01-05-2024,May,957504,Andre Fuentes,913,1229,7,3441.2
Zudio,India,Karnataka,Noida,Kids,Sweaters,52,409154,Rented,10-03-2020,1200,Elizabeth Castillo,M33,"750 Murray Station Suite 588 Port Dawnview, OK 57693",505.850.8206x89811,10 AM - 7 PM,5,Available,CCTV,49807,25-10-2024,October,345237,Kelly Braun,327,1676,7,4692.8
Zudio,India,Karnataka,Bengaluru,Women,Tops,15,424173,Rented,31-05-2021,1100,Donald Horton,M27,Unit 5604 Box 6098 DPO AP 20626,789-748-8733,11 AM - 8 PM,13,Not Available,"CCTV, Alarm",77434,18-01-2024,January,291736,Donna Rodriguez,693,1764,1,705.6
Zudio,India,Karnataka,Chandigarh,Women,Sweaters,1,422109,Owned,19-12-2023,1200,Daniel Marshall,M59,"PSC 5996, Box 0535 APO AP 11034",(716)189-7958,9 AM - 8 PM,3,Available,Alarm,16226,05-04-2024,April,858667,Michelle Torres,206,2411,4,3857.6
Zudio,India,Gujarat,Ranchi,Men,Skirts,25,435701,Rented,19-06-2020,800,Marc Taylor,M84,"PSC 8659, Box 8391 APO AA 17496",-7260,10 AM - 9 PM,4,Available,CCTV,91338,05-11-2024,November,113822,Angela Buckley,288,2519,2,2015.2
Zudio,India,Karnataka,Agra,Kids,Hoodies,13,436327,Rented,13-03-2024,1100,Julia Pruitt,M5,"285 James Underpass Apt. 258 Martinland, OH 31985",(252)789-2394,11 AM - 8 PM,8,Available,Alarm,66941,15-10-2024,October,453482,Monica Meyer,697,1524,6,3657.6
Zudio,India,West Bengal,Mysuru,Kids,Sweaters,100,408489,Rented,18-09-2020,1300,Eddie Ramirez,M67,"219 Whitaker Shoal Suite 749 Michaelberg, FL 47503",001-977-889-9636x509,11 AM - 8 PM,8,Available,Alarm,42387,14-05-2024,May,140082,Larry West,600,2877,5,5754
Zudio,India,Maharashtra,Jalna,Women,Hoodies,62,437619,Rented,30-03-2020,800,Courtney White,M95,"013 Timothy Tunnel Suite 710 Mauricetown, NH 39270",(192)419-5193,10 AM - 9 PM,10,Available,Alarm,36217,25-10-2024,October,898096,Morgan Gonzales,512,1089,2,871.2
Zudio,India,Rajasthan,Vadodara,Men,Jackets,78,409258,Rented,26-01-2023,950,Tammy Lopez,M47,"19303 Kaitlyn Club South Rose, SC 87962",7301627414,10 AM - 9 PM,10,Available,None,89182,04-08-2024,August,214027,Timothy Jackson,783,1977,2,1581.6
Zudio,India,West Bengal,Jammu,Women,Pants,33,424287,Owned,21-02-2022,1000,Jonathan Mack,M45,"4596 Odonnell Vista Owenburgh, SC 64451",539.813.0067x590,11 AM - 8 PM,20,Available,CCTV,70978,03-12-2024,December,442951,Rachel Bass,785,2220,8,7104
Zudio,India,Delhi,Varanasi,Kids,Pants,55,423944,Owned,21-06-2021,1400,Andrew James,M35,"3538 Lindsey Roads Apt. 818 New Samuel, CA 78166",-2475,10 AM - 7 PM,14,Available,CCTV,30076,25-09-2024,September,961724,Connie Cox,477,2918,6,7003.2
Zudio,India,Uttar Pradesh,Visakhapatnam,Women,Jackets,12,420852,Owned,30-07-2024,1200,Matthew Clark MD,M22,"657 Steven Summit Lake Jason, TX 86831",101-736-4310x6378,10 AM - 9 PM,4,Available,Alarm,65174,06-10-2024,October,951069,Corey Nichols,786,2964,2,2371.2
Zudio,India,Uttar Pradesh,Bhopal,Men,Hoodies,94,432046,Rented,06-05-2020,1000,Christopher Chambers,M55,"451 Ward Course Apt. 364 South Sarahhaven, AZ 70285",+1-314-754-0481x0845,11 AM - 8 PM,9,Available,CCTV,61937,01-12-2024,December,630401,Elizabeth Martin,348,2552,4,4083.2
Zudio,India,Rajasthan,Mysuru,Men,T-shirts,85,436989,Owned,28-03-2024,1000,Dawn Perez,M80,"842 Cameron Road Cooperfurt, MD 35663",840-652-3474x81658,9 AM - 8 PM,8,Not Available,None,49031,22-07-2024,July,493777,Christopher Burns MD,631,2430,1,972
Zudio,India,Rajasthan,Guwahati,Men,Tops,76,408191,Rented,05-09-2022,1400,Nathan Martinez,M41,"0865 Knight Garden Suite 435 Michaelborough, MN 99314",500-222-4196x881,9 AM - 8 PM,14,Not Available,CCTV,61642,06-07-2024,July,204872,Andrew Ferguson,454,2083,5,4166
Zudio,India,Gujarat,Indore,Women,Jeans,13,403154,Owned,01-01-2023,1000,Erin Conner,M44,"630 Anderson Valley Carlymouth, KY 77205",483.332.6287,10 AM - 9 PM,18,Available,CCTV,72434,27-08-2024,August,406764,Jenny Montgomery,258,569,1,227.6
Zudio,India,Delhi,Jalna,Women,Pants,79,403160,Owned,16-11-2024,1200,Pamela Dawson,M39,Unit 3662 Box 4688 DPO AP 58146,+1-768-217-0501x149,10 AM - 7 PM,20,Available,CCTV,37879,14-02-2024,February,497087,Diana Allen MD,674,1331,3,1597.2
Zudio,India,Gujarat,Lucknow,Kids,Tops,4,416288,Owned,05-06-2020,1200,Gregory Wilson,M86,"648 Ruiz Pike Port Brianfurt, MI 14514",358-781-2520x85502,11 AM - 8 PM,6,Not Available,"CCTV, Alarm",83512,08-08-2024,August,231344,Tammy Morales,270,1223,4,1956.8
Zudio,India,Uttar Pradesh,Bhopal,Kids,Hoodies,91,401707,Owned,27-02-2024,1000,Rachel Dawson,M6,"175 Lori Burg Suite 554 West Brandonfort, IN 43181",(104)371-4195x230,10 AM - 7 PM,6,Not Available,CCTV,28223,08-02-2024,February,861284,Jennifer Nguyen,262,2952,4,4723.2
Zudio,India,Tamil Nadu,Jammu,Men,Hoodies,24,422902,Owned,09-10-2023,1200,Natalie Perkins,M1,"14040 Douglas Canyon Suite 532 Davidshire, ND 86912",677.852.3183x499,10 AM - 9 PM,4,Available,Alarm,46532,09-02-2024,February,113437,Angela Vincent,268,2353,4,3764.8
Zudio,India,Tamil Nadu,Kolhapur,Kids,Shoes,35,416449,Owned,15-02-2023,1100,Samuel Blair,M37,USNS Sellers FPO AE 41364,734.062.7773x051,9 AM - 8 PM,13,Available,None,52166,21-03-2024,March,980511,Vanessa Garrison,389,1961,3,2353.2
Zudio,India,Tamil Nadu,Bhopal,Women,Skirts,11,426039,Rented,11-07-2024,1400,Jacqueline Brown,M67,"2862 Stafford Ville New Kimberly, NH 46526",(173)437-7640x8529,10 AM - 7 PM,8,Not Available,CCTV,14335,28-09-2024,September,258870,Eric Gordon,600,754,8,2412.8
Zudio,India,Gujarat,Mysuru,Kids,Pants,34,406635,Owned,15-02-2021,1300,Kathleen Acevedo,M58,"40699 Michael Springs East Patricia, NM 81150",(258)356-1368,10 AM - 9 PM,9,Available,None,51465,29-08-2024,August,351201,Clarence Turner,629,2878,6,6907.2
Zudio,India,Delhi,Kolkata,Women,Tops,33,429412,Owned,03-05-2022,1100,Christina Cox,M8,"594 Jones Isle Apt. 388 South Jackton, KY 76236",785-947-0019x11601,10 AM - 9 PM,18,Not Available,None,61221,20-10-2024,October,236589,Jennifer Williams,377,1733,5,3466
Zudio,India,Gujarat,Solapur,Women,Hoodies,99,415246,Owned,18-10-2021,800,Anthony Nash,M82,"PSC 6909, Box 8714 APO AP 08536",+1-372-130-4939x9016,9 AM - 8 PM,17,Not Available,Alarm,58279,30-07-2024,July,730449,Jeffrey Shaw,778,699,3,838.8
Zudio,India,Karnataka,Indore,Women,Jackets,71,436448,Owned,05-01-2022,1300,Jeffrey Johnson,M85,"2199 Scott Bridge Port Catherinemouth, WY 89354",(231)062-6049x1974,10 AM - 7 PM,17,Not Available,"CCTV, Alarm",68615,04-10-2024,October,899545,Courtney Edwards,830,1225,3,1470
Zudio,India,Karnataka,Rajkot,Kids,Tops,74,432571,Rented,18-11-2022,1200,Ryan Brown,M98,"522 Maria Inlet South Marissafort, KS 81324",942-692-9481x12911,9 AM - 8 PM,18,Not Available,None,52843,11-05-2024,May,303990,Stephanie Rodriguez,329,2666,1,1066.4
Zudio,India,Rajasthan,Bhopal,Women,Shirts,60,416049,Owned,15-05-2024,950,Patricia Brock,M33,"8677 Michael Key West Dwaynefurt, MD 34063",070-043-1033,11 AM - 8 PM,8,Not Available,CCTV,38355,17-11-2024,November,917117,Jody Stewart,279,1469,1,587.6
Zudio,India,Karnataka,Vadodara,Women,Pants,34,431715,Owned,26-03-2021,1200,Donna Mccoy,M81,"0699 Jose Rapid Suite 698 New Ryan, WY 97159",4672463976,10 AM - 9 PM,19,Available,None,70815,09-03-2024,March,154791,Kelly Smith DDS,426,1132,4,1811.2
Zudio,India,Maharashtra,Chennai,Kids,Hoodies,2,417599,Owned,16-07-2024,1000,Dennis Price,M28,"718 Alyssa Vista North Jacobburgh, CT 22192",936-851-8073,10 AM - 9 PM,5,Available,Alarm,57277,28-06-2024,June,530727,Keith Smith,497,908,3,1089.6
Zudio,India,Rajasthan,Jalna,Women,Jeans,4,410819,Owned,02-10-2021,950,Daisy Hayes,M36,USCGC Jacobson FPO AA 42980,485-650-2727,10 AM - 9 PM,13,Not Available,Alarm,73749,09-03-2024,March,175054,John Jordan,718,2074,4,3318.4
Zudio,India,Uttar Pradesh,Ahmedabad,Men,Shirts,90,405261,Owned,10-07-2024,1100,Lori Brooks,M71,"4434 Rivers Port Suite 846 Morenoton, KY 40611",600-488-5798x21810,10 AM - 7 PM,11,Available,CCTV,49960,08-06-2024,June,310195,Ashley Green,314,1265,8,4048
Zudio,India,Karnataka,Kanpur,Men,Pants,96,412079,Rented,12-09-2020,950,Dr. Christina Clarke DVM,M98,"284 Samantha Mountain Suite 056 Michaelbury, OH 87031",(342)569-5507x0146,11 AM - 8 PM,4,Available,"CCTV, Alarm",11658,23-11-2024,November,524474,Daniel Jones,427,1220,7,3416
Zudio,India,Rajasthan,Bhopal,Men,Skirts,24,412143,Rented,13-01-2024,1000,Jennifer Morales,M38,Unit 4249 Box 1047 DPO AA 06604,(099)630-9165x78598,11 AM - 8 PM,5,Not Available,None,99582,26-07-2024,July,857663,Michelle Davenport,788,2667,8,8534.4
Zudio,India,Gujarat,Bengaluru,Women,Shirts,92,423320,Rented,23-10-2022,1400,Katie Hernandez,M98,"207 Denise Cliff Apt. 335 Port Scottshire, GA 88867",816-566-1517,10 AM - 9 PM,19,Available,Alarm,32188,18-04-2024,April,262042,Jennifer Barrera,919,820,4,1312
Zudio,India,Uttar Pradesh,Jammu,Kids,Shoes,63,428521,Owned,19-06-2023,1200,Darren Cole,M72,"8323 Carmen Port Apt. 220 Johnsonmouth, DC 16138",+1-699-870-2801x312,11 AM - 8 PM,14,Not Available,Alarm,83796,27-10-2024,October,906683,Marc Watson,522,1757,7,4919.6
Zudio,India,Maharashtra,Thane,Men,Sweaters,61,425960,Owned,17-02-2023,1300,Anthony Brown,M28,"359 Annette River Amandamouth, PA 61197",+1-293-419-2220x0964,11 AM - 8 PM,10,Not Available,None,12957,11-03-2024,March,129790,Yvette Mendez,305,1463,6,3511.2
Zudio,India,Gujarat,Chhattisgarh,Women,Shoes,39,414950,Owned,05-03-2023,1300,Thomas Mora,M22,"59535 Woods Knolls Apt. 126 Debramouth, AZ 11206",497-259-4627x777,10 AM - 9 PM,10,Not Available,"CCTV, Alarm",67889,23-08-2024,August,558263,Parker Jones,537,1109,2,887.2
Zudio,India,Rajasthan,Kanpur,Women,Jackets,95,420930,Owned,02-01-2021,1100,Monique Harris,M37,USCGC Williams FPO AA 72236,241-322-7659,9 AM - 8 PM,7,Available,"CCTV, Alarm",68727,24-01-2024,January,947806,Susan Hill,675,1740,6,4176
Zudio,India,Rajasthan,Kochi,Men,Pants,67,418165,Rented,01-03-2020,1300,Sarah Roman,M50,"7384 Christopher Dale Apt. 560 Kathrynmouth, MD 67851",393-522-7379x8476,10 AM - 7 PM,10,Not Available,Alarm,49977,26-08-2024,August,505111,Michaela King,452,542,5,1084
Zudio,India,Delhi,Agra,Men,Jeans,37,430428,Rented,04-11-2020,800,Joseph Stone,M43,"00455 Stacy Squares Apt. 796 Jessehaven, OH 75749",295.319.0559x183,11 AM - 8 PM,17,Available,"CCTV, Alarm",20097,16-08-2024,August,725116,Theresa Cook,894,2483,5,4966
Zudio,India,Rajasthan,Nagpur,Men,T-shirts,100,403752,Rented,19-06-2024,950,Vickie Willis,M21,Unit 1980 Box 0163 DPO AP 36576,+1-633-653-4033x4040,10 AM - 9 PM,3,Not Available,"CCTV, Alarm",61618,16-11-2024,November,358560,Edward Christensen,432,511,5,1022
Zudio,India,Gujarat,Solapur,Kids,Shoes,1,434614,Rented,01-01-2024,1100,Jennifer Reed,M32,"7718 Robert Mount Apt. 731 South Suzanne, NV 25858",+1-174-654-4386x7819,10 AM - 7 PM,8,Available,Alarm,56848,23-06-2024,June,104208,Melissa Watkins,267,2759,4,4414.4
Zudio,India,Maharashtra,Ranchi,Women,Jeans,100,439453,Owned,30-01-2021,800,Cody Morris,M65,"266 Salazar Inlet Apt. 832 Novaktown, UT 58314",001-726-607-8926x04228,11 AM - 8 PM,4,Not Available,CCTV,39771,09-01-2024,January,488625,John Sutton,785,1024,5,2048
Zudio,India,Karnataka,Hyderabad,Women,Jackets,59,400656,Rented,14-02-2021,1100,Kenneth Roberts,M85,"92459 Reese River North Amberville, NJ 96825",(765)322-5577,11 AM - 8 PM,13,Available,Alarm,37709,27-08-2024,August,149403,Angel Booth,923,2050,6,4920
Zudio,India,Maharashtra,Surat,Men,Tops,64,426510,Rented,25-02-2022,1300,Kara Harris,M32,"245 Travis Villages Suite 603 South Chloe, TN 80318",001-738-846-6518x803,11 AM - 8 PM,13,Not Available,None,80176,08-02-2024,February,207887,Kayla Cordova,704,1708,8,5465.6
Zudio,India,West Bengal,Visakhapatnam,Women,Tops,88,410719,Rented,06-09-2022,1100,Stephanie King,M55,"630 Moore Plaza East Michael, SD 02592",+1-391-835-7280x14970,9 AM - 8 PM,11,Not Available,None,85924,14-02-2024,February,658203,Henry Byrd,732,1809,2,1447.2
Zudio,India,Tamil Nadu,Agra,Kids,Skirts,55,437043,Rented,23-07-2020,1400,Brittany Clark,M81,"424 Samantha Harbors Haileyberg, OH 25946",455-840-0214x75210,11 AM - 8 PM,20,Not Available,Alarm,60477,12-04-2024,April,193574,Robert Williams,708,1546,8,4947.2
Zudio,India,Rajasthan,Bengaluru,Men,Skirts,11,401894,Owned,25-03-2020,1200,Jennifer French,M56,"11157 Jessica Avenue East Robertchester, GA 34955",003.456.8233,9 AM - 8 PM,18,Not Available,None,66994,18-02-2024,February,511838,Ms. Mary Horton,993,1835,6,4404
Zudio,India,Delhi,Faridabad,Women,Skirts,100,405273,Rented,23-10-2021,1400,Mr. Christian Baker,M86,"522 Shelley Fort Suite 210 New Nancy, NM 37864",7897018130,10 AM - 9 PM,3,Available,Alarm,97689,04-07-2024,July,923374,Reginald Cook,452,1333,7,3732.4
Zudio,India,Uttar Pradesh,Kolkata,Men,Tops,90,405318,Rented,01-10-2024,1300,George Olson,M72,"72536 Jasmine Forks Apt. 439 East Paulmouth, MN 44671",+1-641-016-3884x4741,11 AM - 8 PM,15,Available,CCTV,65805,03-07-2024,July,436923,Alyssa Stanton,774,2737,8,8758.4
Zudio,India,West Bengal,Pondicherry,Men,T-shirts,62,428594,Rented,28-10-2022,1300,Monica Myers,M8,"9307 Hernandez Lock Apt. 562 Benjaminchester, IA 87028",+1-796-977-1954x986,11 AM - 8 PM,12,Not Available,None,31998,03-06-2024,June,115670,Jonathan Munoz,408,542,7,1517.6
Zudio,India,Tamil Nadu,Agra,Women,Tops,19,421744,Rented,19-03-2023,1400,Elizabeth Alexander,M32,"371 Anderson Branch Apt. 983 West Cory, OK 81189",001-585-144-6442x2381,9 AM - 8 PM,8,Available,"CCTV, Alarm",33942,07-07-2024,July,191119,Chad Johnson,843,1079,2,863.2
Zudio,India,Tamil Nadu,Varanasi,Women,Hoodies,89,429643,Owned,26-03-2024,1100,Bruce Odonnell,M52,"435 Jennifer Curve Suite 028 Jessicaside, MS 33050",5169534444,10 AM - 7 PM,8,Available,None,17973,28-03-2024,March,452606,Steve Gibson,942,2330,6,5592
Zudio,India,Tamil Nadu,Nagpur,Kids,Skirts,73,435479,Rented,04-02-2020,1200,Briana Vaughan,M61,"72473 Daniel Pass South Rebeccaburgh, FL 89243",645-714-9676x0226,10 AM - 9 PM,10,Available,"CCTV, Alarm",58930,10-04-2024,April,483660,Jennifer Nichols,383,700,2,560
Zudio,India,Rajasthan,Pondicherry,Women,Dresses,11,404646,Owned,15-01-2020,800,James Brooks,M76,"85356 Cory Estate Apt. 775 Davistown, CO 65845",(888)923-8687,10 AM - 7 PM,16,Available,None,32061,27-10-2024,October,580394,Travis Shaffer,244,2711,1,1084.4
Zudio,India,Karnataka,Hyderabad,Women,Tops,68,427124,Owned,25-01-2022,950,Courtney Smith,M21,"9034 Norman River West Carlborough, UT 15943",927-290-5762x103,10 AM - 7 PM,16,Not Available,Alarm,61955,28-03-2024,March,942937,Melissa Cunningham,881,1388,2,1110.4
Zudio,India,Maharashtra,Jammu,Kids,Jeans,62,405012,Owned,17-01-2022,1200,Natalie Perez,M83,"7718 Cruz Gateway Apt. 331 Lake Matthewburgh, NV 13314",(120)605-6719x14970,10 AM - 9 PM,18,Not Available,None,66616,17-05-2024,May,879926,Vincent Collins,930,1906,6,4574.4
Zudio,India,Gujarat,Chandigarh,Women,T-shirts,79,434573,Rented,02-10-2021,1000,Ethan Howe,M96,"PSC 1255, Box 4578 APO AP 19907",001-063-797-9531x741,10 AM - 7 PM,15,Available,None,37493,08-02-2024,February,202773,Billy Jackson,748,2314,4,3702.4
Zudio,India,Uttar Pradesh,Surat,Kids,T-shirts,27,405113,Owned,12-02-2020,1100,Clayton Gibson,M3,"098 Jon Stravenue Apt. 012 Lake Michael, SC 64279",291-085-5784x9548,11 AM - 8 PM,5,Not Available,Alarm,44194,12-11-2024,November,861720,Shannon Martin,747,2036,6,4886.4
Zudio,India,Rajasthan,Goa,Women,Shirts,91,402039,Owned,28-05-2021,1000,Angela Larson,M3,"4541 Foster Fall Apt. 037 East Mark, CT 21382",142-142-8778,10 AM - 9 PM,11,Available,None,16607,01-12-2024,December,711195,Abigail Coleman,928,2725,8,8720
Zudio,India,Karnataka,Hyderabad,Kids,Dresses,44,414111,Owned,13-12-2023,950,Nicole Perez,M71,"5041 Porter Village Greenside, SD 76073",(533)337-8058x313,10 AM - 9 PM,11,Not Available,None,75525,31-07-2024,July,636058,Kurt Hickman,731,1992,4,3187.2
Zudio,India,Tamil Nadu,Thane,Men,Shoes,56,413637,Owned,26-10-2023,1200,Richard Bryan,M85,"239 Elizabeth Canyon Suite 939 South Monique, ID 66968",-3783,11 AM - 8 PM,3,Available,CCTV,46070,23-07-2024,July,972849,Abigail Wright,277,2608,1,1043.2
Zudio,India,Uttar Pradesh,Mumbai,Women,Hoodies,24,438296,Rented,16-09-2024,800,Katherine Rowland,M72,"0373 Perry Parkway Nguyenchester, SD 99426",483.098.8812x01311,10 AM - 7 PM,16,Available,Alarm,89791,30-01-2024,January,742772,Daniel Ruiz,222,1026,5,2052
Zudio,India,Rajasthan,Kanpur,Kids,Dresses,90,424845,Owned,14-01-2022,1200,Monica Maxwell,M11,"3380 Laurie Crescent Barbaraburgh, NJ 17295",661-631-8077x5594,10 AM - 7 PM,12,Available,Alarm,26490,18-01-2024,January,270330,Timothy Rangel,256,1022,4,1635.2
Zudio,India,Maharashtra,Patna,Kids,Shoes,96,431541,Rented,07-09-2023,1000,Elizabeth Scott,M38,"PSC 7154, Box 4514 APO AP 97113",+1-956-278-1580x6387,9 AM - 8 PM,4,Not Available,CCTV,10438,16-10-2024,October,798036,Jessica Moore,630,2640,1,1056
Zudio,India,Gujarat,Jalna,Men,Jackets,82,402992,Rented,18-04-2022,1300,Michael Burton,M31,"81498 William Lodge Apt. 121 Masseyland, CA 11640",+1-629-021-8722x7298,10 AM - 7 PM,15,Not Available,None,25244,17-02-2024,February,532677,Lori Richardson,662,2950,4,4720
